timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603411650796,384,Access HomePage,200,OK,Checkout 2-1,text,true,,23643,589,1,2,http://172.23.176.132/opencart/upload/index.php?route=common/home&route=common/home&product=no_match,351,0,81
1603411650899,439,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23643,589,1,2,http://172.23.176.132/opencart/upload/index.php?route=common/home&route=common/home&product=no_match,352,0,92
1603411652180,321,Access Login,200,OK,Logged User Choose product 1-1,text,true,,19862,665,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login&route=account/login&product=no_match,234,0,0
1603411652652,241,Access Login,200,OK,Checkout 2-1,text,true,,19862,665,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login&route=account/login&product=no_match,190,0,0
1603411656747,486,Enter credentials,200,OK,Logged User Choose product 1-1,text,true,,20717,1850,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,171,0,0
1603411656747,171,Enter credentials-0,302,Found,Logged User Choose product 1-1,text,true,,379,1161,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,171,0,0
1603411656920,313,Enter credentials-1,200,OK,Logged User Choose product 1-1,text,true,,20338,689,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,227,0,0
1603411658186,396,Succesful login,200,OK,Logged User Choose product 1-1,text,true,,20359,699,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account&route=account%2Faccount&product=no_match,309,0,0
1603411658004,638,Enter credentials,200,OK,Checkout 2-1,text,true,,22250,1810,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,236,0,84
1603411658004,236,Enter credentials-0,302,Found,Checkout 2-1,text,true,,380,1121,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,236,0,84
1603411658242,400,Enter credentials-1,200,OK,Checkout 2-1,text,true,,21870,689,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,316,0,0
1603411659326,456,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,23772,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,366,0,0
1603411659344,446,Succesful login,200,OK,Checkout 2-1,text,true,,21891,699,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account&route=account%2Faccount&product=no_match,364,0,0
1603411660304,349,Access HomePage,200,OK,Checkout 2-1,text,true,,25304,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,264,0,0
1603411662304,358,Access product category,200,OK,Logged User Choose product 1-1,text,true,,33070,658,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fcategory&path=25&product=no_match,269,0,0
